t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),window_start,window_end
82,96,1.4416320228263835,0.12843078826709992,1.2009179747353946,1.237083935307538,1.3530543940840076,1.437819980390727,1.5260548208132638,1.6591838538307382,1.704007414235682,2023-03-24,2023-04-07
83,97,1.4360578259594645,0.1254689548140615,1.2006848773194532,1.2360972209874383,1.349557342381525,1.4324053923764424,1.5185774114641446,1.6484776927568225,1.6921852451782102,2023-03-25,2023-04-08
84,98,1.3937159020175391,0.12039871619835966,1.1677389400486575,1.20176449234445,1.3107298792753144,1.3902504844202104,1.4729248457736477,1.5974886099915109,1.6393846837613275,2023-03-26,2023-04-09
85,99,1.455299339709906,0.11962486883723183,1.2302866266943064,1.2642806747984086,1.3729271850804634,1.4520229541265242,1.5341003881563104,1.657494432405724,1.6989298878121297,2023-03-27,2023-04-10
86,100,1.404152360199838,0.11426829850869122,1.1891239610388047,1.221630881007505,1.3254837984089423,1.4010539055112403,1.479443741370991,1.5972433007930007,1.6367875444430078,2023-03-28,2023-04-11
87,101,1.39563451272734,0.11068101634013863,1.1871331981743296,1.2187054453767614,1.3194727410537488,1.3927097471820375,1.4686083922120132,1.582540535113626,1.6207557044563965,2023-03-29,2023-04-12
88,102,1.327669460397249,0.10496148686755068,1.1299172663619617,1.1598677378509477,1.2554476287285008,1.3249045091298777,1.3968775890460756,1.5049029778749854,1.5411334004491843,2023-03-30,2023-04-13
89,103,1.3372002071813094,0.10255857419875145,1.1437397521925958,1.1730951322797225,1.2666710610313117,1.3345791619279714,1.4048724781012742,1.5102461681238415,1.5455547364665791,2023-03-31,2023-04-14
90,104,1.2808911487036418,0.09795219429605095,1.0960985096221063,1.1241436363825672,1.2135333703725575,1.2783951519909322,1.3455283494393375,1.4461529810870095,1.4798672806777868,2023-04-01,2023-04-15
91,105,1.2231877791981804,0.09353950734208442,1.0467199364473894,1.0735016472541028,1.1588644279345635,1.2208042256237843,1.284913113237299,1.3810046662489035,1.4132001570877637,2023-04-02,2023-04-16
92,106,1.208122719581504,0.09106567639899094,1.0362250607369947,1.0623357676967438,1.1455167420357506,1.2058353803768715,1.268235541488448,1.3617122143126634,1.3930182031517953,2023-04-03,2023-04-17
93,107,1.1794760888407252,0.08840547049990215,1.0125634119287792,1.0379254273871965,1.1187050729641477,1.1772680689620558,1.2378404019760139,1.3285587175550089,1.358935867895436,2023-04-04,2023-04-18
94,108,1.162607206241619,0.08641591307841674,0.999398511818557,1.0242099360333319,1.1032126293488687,1.1604668272334842,1.2196688026050246,1.3083057045699136,1.3379786470446242,2023-04-05,2023-04-19
95,109,1.1872705369167755,0.08613365769884825,1.0244458620316996,1.0492337117415431,1.1280950381385215,1.1851882570461436,1.2441763682762041,1.3324103936799916,1.3619278479821468,2023-04-06,2023-04-20
96,110,1.1514849109418466,0.08375820263476978,0.9931663188997281,1.0172645396298998,1.0939387691742262,1.1494547113379237,1.206818153799226,1.2926306596745758,1.321340186949762,2023-04-07,2023-04-21
97,111,1.1050512313292273,0.08102628751261264,0.951942440770976,0.9752369300514725,1.0493743126616883,1.1030714849624468,1.1585702490117005,1.241618807915785,1.269409991290432,2023-04-08,2023-04-22
98,112,1.062923203295892,0.0785735441267495,0.9144948448543967,0.9370665777633547,1.0089239944037436,1.0609877236613774,1.1148127658396836,1.1953821052725255,1.2223499717726571,2023-04-09,2023-04-23
99,113,1.0613648997876244,0.07782305026939143,0.9143090063228553,0.9366825873658431,1.007889073937474,1.0594634193452603,1.1127681336186601,1.1925335082001753,1.2192260141412175,2023-04-10,2023-04-24
100,114,1.0761327968051981,0.07786623636905511,0.9289222485149948,0.9513364157784195,1.0226396009063552,1.0742553128966066,1.1275795498137324,1.20733361260099,1.234012224004403,2023-04-11,2023-04-25
101,115,1.104066807271568,0.07846261140491666,0.9556304834913586,0.9782542473464779,1.0501805011143888,1.1022086662573103,1.1559277452675458,1.2362178137931101,1.2630621179783743,2023-04-12,2023-04-26
102,116,1.1142110871553859,0.07839561852337987,0.9658477045980861,0.9884729197028399,1.060379888066281,1.1123729953596797,1.1660387669282282,1.2462193065320417,1.2730195391249648,2023-04-13,2023-04-27
103,117,1.1595389338199709,0.07945029860588974,1.0090377025320223,1.0320221047697868,1.105007576853334,1.1577248246142593,1.212092900517319,1.2932439977863288,1.320348985420359,2023-04-14,2023-04-28
104,118,1.1466849466423465,0.0783857692255735,0.9981880509772115,1.0208692008759286,1.0928863070636772,1.1448993284594762,1.1985372503324239,1.2785917389090258,1.305328762933384,2023-04-15,2023-04-29
105,119,1.1561163524587756,0.07794534858192118,1.0083828762558051,1.0309640096505706,1.1026320459308319,1.1543651336350438,1.2076918128744865,1.2872423957687027,1.3138012882186783,2023-04-16,2023-04-30
106,120,1.1734266000631235,0.07771207502122147,1.0260453773536744,1.0485936954848807,1.1201176708386253,1.1717115106956513,1.2248660575895025,1.3041099566800163,1.3305539931390147,2023-04-17,2023-05-01
107,121,1.1529050989620253,0.07618611339536224,1.00840718152246,1.030516873505702,1.1006447714561618,1.1512273605614165,1.2033366670237189,1.281016365594501,1.3069369384029177,2023-04-18,2023-05-02
108,122,1.1362631330944701,0.07476062543398042,0.9944480919124262,1.0161521341625597,1.0849841709013883,1.1346239250388053,1.185755332885442,1.2619657387722765,1.287393148073977,2023-04-19,2023-05-03
